rating,review
3,"Curugnya lumayan bagus dan indah. Tapi sayang airnya kotor dan berbusa, banyak dilempar sampah sama orang2. Di dalamnya juga tidak terawat. Pemandian air panas juga kotor. Cafenya juga kurang memuaskan. Menang mahal aja. Pesan banyak makanan tapi ga ada yang spesial. Thai tea rasanya ga jelas, kulit ayam tp dalemnya kaya belum matang dan ga garing. Chicken cream soupnya lumayan sih. Nasi tutug oncomnya kering bgt, ayam dan sambalnya kurang enak. Pasta secara tekstur dan creamnya enak tp rasa nya kurang enak. Pesen minuman datengnya lama. Parahnya air mineral baru dateng pas udah mau pulang, itupun setelah ditanya 4x. Di tempat makan ada monyet yg mengganggu. Sampai playgroundnya aja ga terawat, jadi tempat main monyet aja. Secara keseluruhan stafnya ramah. Tapi pas ngasih voucher 6 lembar dibilangnya 5 lembar. Ntah sengaja atau memang khilaf"
5,Terakhir kesini tahun 2000 an sudah berubah banget wort it sih ajak keluarga jalan2 sampai goa Belanda cuman sayang jembatan Curug Omas nya gak bisa digunakan lagi ..coba diperbaiki bisa nambah pengunjung lagi pastinya
4,"Kesini minggu 28 juli 2024, harga tiket masuk 45k/orang dapat ganti  voucer 20k untuk oleh oleh dan 25k makanan jd bisa dibilang masuk ny gratis. Lumayan buat berlibur bersama kluarga, buka hanya sampe jam 18.00. Pas kesini sih sepi padahal hari minggu."
5,"Sangat nyaman, petugasnya sangat ramah, harganya terjangkau karena tiket masuk dijadikan voucher utk tukar ke makanan dan souvernir,,,

Kebetulan musim hujan jadi nuansa Alamnya sangat adek,  sejuk dan terasa sekali akan suasana pegunungan serta hutan dibawah lembah kaki bukit ..."
4,"Kesini hari jumat sore, sepi banget serasa punya pemandian air panas pribadi. Pemandiannya ga terlalu panas airnya, tapi oke lah.

Twig Cafe manteb, ngopi sambil liat air terjun. Kyknya pengunjung sini cuma mampir ke cafe dan spot foto nya saja"
5,"Curug Maribaya.  Salah satu tempat rekreasi alam yg ada di Lembang yg layak untuk dikunjungi

Tiket masuk hanya 35.000 di hari biasa
Tapi akan mendapatkan kupon potongan @20.000/ tiket untuk makan di restorannya
Good job"
5,"Air terjunnya keren, tiketnya bisa dituker minuman dan oleh oleh dengan harga yang sebanding (air mineral 5000,teh botol 10rb, hidrococo 10rb). Jarak dari parkir ke air terjun tidak terlalu jauh sehingga buat anak anak yang mau lihat air terjun tidak jauh. Mini zoo ada kelinci dan domba yang bisa dikasih makan. Overall diatas ekspektasi"
3,"Plus
+ parkir lumayan luas
+ staff ramah
+ sepi banget jadi leluasa menikmati air terjun dan foto2
+ udara segar khas lembang atas - maribaya
+ walaupun seperti ""abandoned"" tapi toilet dan wastafel tetap berfungsi
+ tiket masuk bisa ditukar minuman dan suvenir, jadi terhitung murah

Minus
- seperti terbengkalai, banyak fasilitas yg tutup, rusak, tidak ada staff yg jaga di bagian dalam

Moga2 bisa direkondisi lagi kawasan wisatanya"
5,"Datang sabtu pagi, masih sepi
Kaya air terjun milik pribadi."
5,"tempatnya nyaman. tersedia makan yang rasanya enak. sebelum makan, beli tiket dulu, nanti dibtiket ada potongan harga untuk makanan."
