rating,review
4,"Dilihat dari review udah tau bakal sepi dan ternyata betul, tapi justru buat aku pribadi jadi daya tarik hehe. Tempatnya memang sudah terbengkalai, curugnya kering, ada sampah plastik jg. Pas baru nyampe, kirain di pos bakal kosong, ternyata ada 1 penjaga sama 2 bapak2 warlok yg lagi duduk2. Aku tanya berapa biayanya, si aa nyuruh lihat2 dulu aja. Aku justru jd ga enak dan ngerasa kalau si aa takut tempatnya di hujat :(
Disana cuma ada aku sama 1 keluarga yg mau piknik. Sebelum nyampe ke curug, ada jalan ke atas yg nyambung ke gunung manglayang. Perjalanan ke atas lumayan seru, bisa ngobatin rindu naik gunung dan ada bekas laju motor trail juga. Kalau dirawat dan dibersihin bakal bagus loh tempat ini. Oh iya, jadinya aku cuma bayar parkir 5rb, ada yg review ga usah bayar tp motor dan helm aku alhamdulillah aman dijagain si aa dan bapak2 itu ✌"
4,"""Curug Cilengkrang yang sebetulnya itu yang mana ya?""

Saya berkunjung ke kawasan curug Cilengkrang ini sekitar tanggal 10 oktober 2024 kemarin. Niat hanya ingin cari jalur hiking untuk anak-anak. Karena saya ingat, lokasi di sekitar curug Cilengkrang ini adalah tempat latihan trail running.

Saya masuk kawasan Curug Cilengkrang ini dari sisi timur arah kaki gunung Manglayang (pintu masuk pendakian utama). Jadi saya tidak masuk dari akses utama yaitu pintu gerbang kawasan Curug Cilengkrang. Lagi pula ketika saya melintas di depan kawasan pintu masuk curug Cilengkrang ini, seperti sudah tidak terurus. Tidak ada penjaga di loket pintu masuk. Tetapi tanda dan saung-saung serta spot foto bertuliskan curug Cilengkrang masih terlihat.

Kembali ke pertanyaan diawal yaitu ""Air terjun yang manakah yang di sebut curug Cilengkrang itu?""

Ketika saya mencoba menyusuri jalan setapak di arah aliran sungai kecil dari curug Cilengkrang ke arah puncak, ternyata ada beberapa curug ""kecil"" yang bisa saya temui. Salah satunya adalah curug yang foto-fotonya sering diposting orang-orang mengenai curug Cilengkrang ini. Hanya saja kalau air terjun ini yang disebut curug Cilengkrang koq kayanya terlalu kecil ya? Dan karena saya pernah dengar kalau sebetulnya bukan curug inilah yang disebut curug Cilengkrang maka kemudian saya coba menelusuri lebih jauh ke arah puncak. Ternyata masih ada satu curug lagi (yang bisa saya temukan) dengan tampilan ya layaknya curug/air terjun dengan tebing yang tinggi. Lokasinya berada diapit oleh 2 tebing yang cukup tinggi. Untuk mencapai lokasi ini kita harus menyusuri aliran sungai diantara celah 2 tebing tinggi seperti gang. Apa iya sebetulnya yang di sebut curug Cilengkrang ini adalah lokasi air terjun yang ini pikir saya? Karena lokasi ini lebih sesuai disebut curug/air terjun. Meskipun saat saya datang kemarin aliran airnya kering, jadi tidak terlihat derasnya aliran air terjunnya. Atau sebetulnya di atas kawasan lokasi ini masih ada curug lainnya yang disebut curug Cilengkrang sesungguhnya? Saya belum sempat eksplorasi lebih jauh di kesempatan kunjungan pertama saya kemarin.

Bisa saya bilang lokasi di sekitar aliran sungai curug Cilengkrang ini masih berudara sejuk. Khususnya di lokasi lembah yang tepat berada di aliran sungainya. Dimana masih terlihat pepohonan tinggi, salah satunya adalah pohon pinus yang memayungi lokasi ini. Sedangkan di lokasi sekitarnya yaitu disisi Barat dan Timur curug Cilengkrang yang kebetulan sudah bersentuhan langsung dengan perkampungan warga, lokasinya agak panas dan gerah ketika saya kunjungi kemarin. Sebagian lahan hijau yang saya lalui sudah berubah menjadi perkebunan warga. Sehingga sudah jarang pepohonan tinggi yang tumbuh disekitar jalur hiking yang saya lalui kemarin ini. Hutan pinus yang masih cukup lebat berada di sisi barat dari curug Cilengkrang ini. Dan sepertinya di hutan pinus ini terdapat jalur pendakian menuju puncak gunung Manglayang dari sisi barat. Karena pas saya lihat di aplikasi Strava ditunjukan kalau jalur yang saya lalui adalah jalur menuju puncak gunung Manglayang.

Akses menuju curug Cilengkrang yang sempit dan agak mendaki memang agak sulit diakses oleh kendaraan roda 4. Akses jalan menuju kawasan ini akan sulit di lalui oleh kendaraan roda 4 ketika berpapasan. Tetapi sebetulnya lokasi ini cukup asik dijadikan lokasi istirahat dan tracking-tracking santai (jalan-jalan lintas alam santai)."
4,"Obyek wisata yang sudah tidak terurus tapi untuk yang ingin menyepi enak bgt. Air terjunnya kecil-kecil, katanya ada 6 tapi hanya 2 yang mudah dijangkau"
5,"Suasananya masih sangat alami. Sejauh ini kami kesana di Mei - Juni 2024 tidak ada tiket masuk dan parkir. Lokasinya bisa dipakai untuk camping dan masak2 outdoor. Curugnya pendek, dan airnya sekitar se mata kaki - betis. Kata warga sekitar ada curugnya yg besar, tapi perlu jalan lebih jauh 2-3 km."
4,"Akses jalan ke pintu utamanya bagus. Jalannya di cor. Cukup buat 1 mobil. Tiket masuknya juga murah hanya 7500. Cuman sayang akses ke air terjunnya tidak tertata, tidak terarah dan terawat. seolah kita pengunjung ""ga boleh"" Ke air terjun terjauh karna akses yg cenderung sulit dan terjal. Hanya bisa akses ke air terjun ke 1-3 saja. Selebihnya sulit. Katanya sih karna suka d pake buat ospek, jadi ga boleh d benerin jalannya. Tapi kan kami pengunjung bukan kau d ospek tapi mau wisata. Saran aja bedain aja jalur ospek sama jalur wisata. Kalo jalur tertata akan lebih rame"
4,"Saya berkunjung ke tempat ini pada sabtu 22 mei 2021. Akses jalan cukup sempit, hanya pas untuk satu mobil, tapi jalannya bagus dan sudah di cor. Tiket masuknya untuk kendaraan roda 2 Rp. 15.000 sudah termasuk bayar parkir. Tempatnya sangat sepi walaupun saya berkunjung di hari Sabtu. Air terjun nya tidak terlalu banyak air mungkin karena sedang musim kemarau tapi air yang ada sangat jernih dan tidak banyak sampah di sungai nya. Sampah nya sedikit berserakan di area jalur pendakian jadi mohon sekali untuk calon pengunjung agar selalu menjaga kebersihan serta saling mengingatkan agar tidak membuang sampah sembarangan 🙏🏻 sekian review saya terimakasih"
5,Kesini setelah sekian lama . Emang curug cilengkrang bagus pas musim hujan  kalo musim kemarau  suka kering malah gak ada airnya . Untuk wisata deket daerah bandung timur bisa jadi alternatif  sih .
4,"Tepat ini sudah tidak di kelola perhutani alias GERATIS HATI HATI PUNGLI !!!
Untuk Airnya bersih ,toilet ada ,warung cuma buka hari Sabtu Minggu,hati hati ada pungli !!"
5,"Tempatnya sangat adem, sejuk, bagus dikelilingi oleh pohon pohon pinus. Ada air terjun kecil juga cocok untuk yang bawa anak main disini.
Disini juga bisa untuk dijadikan champing khusus untuk acara sekolah.
Untuk harga tiketnya 5 rb /orang dan parkir 2 rb. Untuk sekarang harga tidak tahu. yg pasti masih murah.
Fasilitas disini juga ada mushola, WC, tersedia juga warung.
Setiap hari buka Senin - Minggu.

Untuk akses kesini sudah cukup baik, karena sekarang jalan sudah di cor dan mulus.
Overall lumayan buat istirahat / menenangkan hari dari hiruk pikuk kebisingan kota dan jauh dari kebisingan, sangat nyaman adem pula."
4,"Menjadi salah satu alternatif wisata alam keluarga.
Berada tidak jauh dari pusat kota Bandung, tepatnya dibandung timur tetapi masuk kedalam kawasan hutan Bandung Utara.
Tempatnya cukup "" menantang "" untuk wisata alam terutama untuk mencapai curug / air terjun dibagian paling puncak yang masih "" menyisakan "" air terjun.

Harap berhati2 jalanan yang licin dan lembab dikarenakan rapatnya pohon Pinus diarea Curug.
Warung warung sederhana dengan harga murah meriah dan pelayanan yang ramah menambah rekomendasi tempat ini.

Sedikit masukan buat pengelola adalah kebersihan area wisata yg banyak sampah akibat dari kurang sadrnya pengunjung dan fasilitas umum seperti mushola dan toilet yang semakin ditingkatkan.
Sukses terus Curug cilengkarang"
