rating,review
4,"Aku pergi saat weekend, tepatnya pada hari sabtu. Tempatnya lumayan ramai karena ada acara kumpulan pesepeda juga saat itu dan masih terbilang sejuk untuk berkumpul bersama teman atau keluarga.

Untuk tiket masuknya 25k/orang sudah dapat 1 botol minum gratis.

Air terjunnya terbilang cukup deras pada saat itu, mungkin juga karena sedang curah hujan yang tinggi.

Mungkin pesan saja untuk pengelola, lebih dijaga lagi keadaan sekitarnya dan kebersihannya. Dan juga mungkin memang ada beberapa saung untuk berteduh atau beristirahat, hanya saja seperti kurang dalam pengelolaannya."
5,"Terakhir kesini juni 2023..

Salah satu tujuan wisata di kabupaten Bandung...curugnya bagus.....kalo mau main air terjunnya lebih baik bawa baju ganti...
Ter update skrg gmn yaa...??..soalnya rencana pengen eksplor balik lg kesini...karena waktu itu gak sempet main air terjunnya karena gak bawa baju ganti...😁😁"
5,"Ademmmmm sihh, tp sayang debit air nya lagi gede, JD g bisa mainn d dket2 air terjunnya"
2,"Curugnya bagus, sayang banyak gubug bekas warung terbengkalai dan warung deket curug agar di tata ulang, terkesan kumuh,"
5,"Kesini pas deres, jadi cuma bisa liat dari atas. Tiket masuk 25rb + parkir R2 5rb, R4 mungkin 10rb, dapat free air mineral atau teh botolan. Akses lumayan mudah, jalan sudah lebar walau ada kerusakan di beberapa titik. Naik mobil kecil sejenis city car masih aman. Trek menuju curug ada tangga batu, hanya saja agak licin."
4,"Quite okay but not very recommended. Oke aja kalau gatahu mau kemana lagi mah. Kita kesini karena Bandung dan sekitarnya penuh turis dan macet pol, sementara disini ga begitu rame. Curug ok tp jangan pas musim hujan, trus warlok ngerokok semua, dikit dikit ketemu asap rokok. Ga rekomen bawa anak atau non smokers."
4,"Tiket masuk 25k dan termasuk cukup mahal untuk sebuah wisata curug, tiket dapat ditukar dengan air minum kemasan botol .
Ada tiket kolam berenang yang sangat sederhana dengan tarif 15k .

Saya masuk 2 org dewasa dan 1 anak 7th jadi berbayar 65k padahal tidak berenang tp di anggap untuk anaknya jadi tiket berenang .

Untuk treking nya sangat dekat .
Tetapi untuk daerah sekitar curug dan batunya sangat licin jadi harap berhati hati ."
4,"Curug nya cantik bgtt, cuman di sayangkan aja ad sampah di bagian bawah. Untuk weekday sepii bet tapii seru"
4,"Jalur kesana bagus bisa dilalui motor dan mobil. Tiket per orang di weekend Rp 25,000 dan sudah dapat free air minum, bisa pilih jenis minumannya sesuai yang tersedia.

Akses ke curug sudah diperbaiki dan bagus. Yang perlu ditingkatkan mungkin dari fasilitas toiletnya yang agak kotor dan pintunya sulit untuk dikunci."
1,"HTM 25rb (mahal) dan fasilitas kurang di perhatikan, sperti wc tidak bisa layak digunakan, banyak sampah berserakan, jembatan kurang di perbaharui sudah rusak perlu di perbaiki, banyak warung sehingga terlihat kurang menarik. Saran mungkin bisa dikurangi htm nya dan disesuaikan dengan fasilitas."
4,"Takjub sama air terjunnya , kemarin melihat ada pelangi di bawah air terjun , sudah tersedia warung warung untuk membeli camilan , harga tiket 25 ribu (gratis 1 air mineral)"
4,"Saya coba mengunjungi kembali curug ikonik didaerah cicalengka.
Harga ticket 25k/orang, dan utk parkir 5k. Ticket dapat ditukar dgn minuman/air mineral.
Fasilitas sdh cukup banyak peningkatan, ada saung lesehan, warung, kolam renang, teras pandang utk menuju area air terjun.  Sayangnya jembatan penghubung melewati sungai sdh tidak ada."
5,"Jalan ke curug cinulang sangat mudah diakses, ga terlalu ramai tapi bener bener worth buat tiket 25k pas weekend. It was so wonderful ✨✨"
4,"Tempatnya sudah lumayan bersih, tinggal pengunjungnya sajamau nggak ikut menjaga kebersihan dg tidak membuang bekas makannya di mana saja"
5,"waktu pergi ke sini bareng temenku, tiket masuknya seharga Rp 25.000, kita kesana tidak terlalu rame, curugnya ada dua dan bagus!"
4,"Kalo dari stasiun cicalengka lumayan jauh ternyata kirain deket jalan nya juga aga nanjak.. Biaya masuknya 10 rb per orang , tapi ada tiket kolam renang jg 15 rb / orang emng di tuker susu botol kecil cuma ga worth it lah karna seorang keitung 25 rb jadinya, kolam renang nya kaga bisa di pake dong, dipake nya kalo ujan doang soal nya ngandelin air ujan turun mana lumutan sm kuning keliatan airnya. Wkwkkw
Di dalem nya ada warung2 kecil buat makan.

Curug nya sih bagus, kemarin sore kesana pas ada pelangi.
Tp kalo dr arah curug mau pulang susah dapat mobil grab / gocar. Ada ojek pangkalan cuma ngasih harga nya nembak, semotor 50 rb. Wkwkw"
5,"Meskipun musim kemarau tp curug nya tetap bagus, cukup terawat jalur menuju ke bawah. Tempat parkir mobil juga tersedia. Tiket masuk 25.000/org, boleh cash/dana premium/transfer bri/seabank. Enak banget buat ngadem 🫶🏼"
