rating,review
4,"Untuk harga tiket masuk, menurut saya terjangkau sekitar 30k sd 35k/org. Fasilitas kamar mandinya mungkin bisa agak dibersihkan lagi. Airnya hangat, tidak terlalu panas, bau belerangnya berasa. Suhu saat malam hari dingin sekali, ada kantin diatasnya saung2. Sewa saung murah hanya 15k. Yang minusnya hanya 1 saja, saya agak kecewa untuk petugas parkirnya, bayar motor 5k, tapi tidak ada pelayanan xtra. Helm tidak diberikan plastik pelindung. Sehingga saat hujan, helm basah semua. Saya rasa harusnya disiapkan minimal keresek atau plastik hitam untuk menutupi helm pengunjung"
4,"Kesini pas sabtu pagi long weekend, ramai tapi masih bisa berendam dengan tenang. Kolamnya banyak pilihan, ada yang untuk anak-anak dengan kedalaman hanya 0.8M. Airnya tidak terlalu hangat, tapi lumayan lah untuk cuaca lembang yang dingin.

Kamar mandinya kotor dan bau pesing, saya memilih untuk mandi di villa daripada mandi disini. Tiket masuknya 30rb utk pagi-sore dan 35rb untuk malam hari."
2,"pertama kali kesini, Bintang 2 dulu gess
ada kejadian kurang mengenakkan gess

kami datang 2 rombongan
aku sih pake motor, yg lainnya pake mobil..

untuk yg pake mobil, di bawah sebelum belok naik ke tempat wisata, di hadang dengan dalih ga boleh naik, parkiran penuh, alhasil mobil parkir pinggir di jalan raya dan penumpang jalan kaki, bisa bayangkan ga sih, jalan kaki dengan kondisi jalan naik turun, sangat melelahkan terus bawa barang bawaan lagi.

dengan santainya tukang parkir di atas ketika saya protes, kasian anak anak masa harus jalan kaki, ga bisa gitu buka dulu jalannya, biar di drop di pintu masuk, dengan entengnya dia bilang, parkirannnya penuh. buset dah gendek gw, kasian anak anak jalan kaki.

udah pada datang ke pintu masuk, baru di kasih tau, jangan belok yg itu jalannya, maju lagi nnati ada belokan ke 2, jadi nanti arahnya dari atas tempat wisata. deerrr kenapa ga dari tadi.

pokoknya buruk dalam pengelolaan parkirnya, gendek gw..

untuk tempat wisatanya sih oke, fine fine aja..

tapi sory gw kasih bintang 2, karena masalah parkir tadi."
1,"Pertama kali Dateng ke sini udah di siapin tenda sesuai pesenan tetapi harus yang lebih tau sebelum pesan harus lebih teliti karena kalo udah pesan tidak bisa uang kembali kalo ada acara2 ngedadak uang akan hangus.
1.untuk kebersihan di area camp lumayan
2.untuk area kamar mandi bau Pesing
3.tolong di sedia kan tungku kalo untuk bakar2'an di area tenda jangan cuma di area glamping
4.kalo hujan di tenda belakang nya pasti ngerembes/tampias
5.tolong sedia kan untuk pengusir lalat apa lagi kalo siang lalat nya bejibun
6.air nya ga panas cenderung anget kuku
7.material kolam nya di kira kramik pas nyebur batu2 semua bikin licin di dalem kolam/bikin kaki lecet
8.kesigapan dan dari ke amanan dari penjaga cukup di acung kan jempol tegas
9.pemandangan dan dingin nya di acungkan jempol sip Poko nya mah coba kalo bisa air nya panas bikin betah
10.kalo ujan di terowongan tolong jalan nya di Adain pompa untuk nguras air karena banjir/kotor
11.dari semua penjaga ramah,sigap,tegas
Maaf saya kasih bintang 2 karena lebih banyak mines nya semoga kedepannya bisa di perbaiki lagi tempat nya sayang tempat udah bagus/pemandangan ok tapi banyak mines nya"
5,"pokoknya enakk polll yang kasih rate 1/2 coba jangan di tenda coba di glamping enak banget ga ke basahan waktu hujan ga ke dinginan karna ada pembakaran
tapi saran aja sebelum di pake cek lagi kebersihan glamping enak sih cma kemaren kaget ada binatang tapi its oke AA nya langsung ambil bagus banget kinerja AA nya keren dan untuk kayu 10rb kurang sih tambahin dikit kali bisa hehheehhe

bulan depan bakal kesana lagi okeeee"
4,"Datang waktu weekday enak sepi👍🏻
Harga :
-tiket masuk : 30k
-parkir motor : 5k
-sewa saung : 15k

+ Tempatnya lumayan luas dan banyak kolam bersih
+ Ada pemberitahuan kedalaman kolam jadi gak kaget waktu masuk

- airnya gak panas sama sekali hanya anget kuku jari (klu panas seperti sari ater enak banget)😑
- tukang parkir gak bantuin pindahin motor, jadi harus geser sendiri padahal kita dah bayar 👎"
5,"Buka 24 jam..
Tiket masuk 30k karna dateng siang ya. Klo sore-malam udah 35k.
Sewa gajebo 15k lgsung bayar di loket tiket. Biaya parkir 10k lgsung bayar sblum masuk.

Areanya lumayan luas. Airnya anget bukan yg panas bnget. Viewnya oke. Tapi hawanya masyallah duinginnnn poll. Saran aja klo ke arah lembang emang kudu bawa baju tebel dan panjang. Ada warung didalem. Bisa ngecamp juga klo tertarik yak.

Tapi mon maap untuk area kamar mandi dan bilas tuh kurang bersih ya. Semoga ada peningkatan nntinya.

Tpi gak nyesel sih kesini terutama buat orang tua yak pasti seneng karna bisa berendam sambil relaksasi."
4,"Air hangat suhu 32°c dan ngalir terus bukan tergenang, jumlah kolamnya banyak, ada tanda kedalaman utk mudahin anak2. Biaya masuk pagi 30rb/org dan parkir mobil 10rb. Fasilitas lengkap, loker bayar 10rb jaminan KTP, toilet ada uang kerohiman, sewa lapak tiket untuk duduk 15rb, kl tertutup 30rb hanya smp jam 12 krn lwt jam 12 sdh disewa yg nginap. Ruang ganti diatas bau pesing, kl dibwh bersih dan ga bau."
5,"Wisata yg menawarkan pesona alam dengan harga yg friendly,
Open 24 hours
Tracking ke lokasi dekat dengan parkiran
Glamping,  nge camp, makanan tersedia berlimpah,
Tempat saung untuk nongkrong dari kapasitas 1 klga sampai rombongan pun ada
Akses jln masuk tdk jauh dari jln utama
Tapi memang harus boking dlu minimal 2 mnggu untuk menginap di weekday / weekend biar bs pilih lokasi nginap 😁😁
Pelayanan dari parkir masuk sampai di pusat informasi di area dlm juga ramah,
Overall recomended
Topp"
5,"Bagus , seger , air belerangnya kurang panas aja
Mungkin karena bandung sedang dingin kaya sifat dia wkwkwkw
Penyewaan karpetnya juga terjangkau
Parkirannya aja mungkin harus di bagusin yaa
Kolamnya ada banyak, jadi bisa coba ke sana ke sini
Cocok buat rekreasi sama keluarga"
5,"Tgl. 29-05-2025 saya dan keluar kecil saya kesini, pemandangannya indah kebersihannya juga bagus, staff nya ramah² tapi sayang Musholanya sangat kecil.
SARAN UNTUK KEDEPANNYA UNTUK TEMPAT SHALAT MOHON DIPERBESAR LAGI. AGAR YG BERAGAMA MUSLIM PUN NYAMAN UNTUK BERIDAH DISITU.

Terimakasih Untuk Admin selalu Fast Respon ketika di W.A"
5,"Perjuangan bisa kesini lumayan edan krna kondisi libur lebaran,,,,
Tapi terbayarkan dengan puas nya moment2 qtime bersama keluarga,,,
-HTM 35 kalo malem
-Saung glamping 100 pr malam muat 6 org
Bisa sewa Kasur, selimut, bantal, kompor portable, panci, katel, katel panggangan dll

Gak perlu khawatir kalo mau beli per sosis an because everything is available here

Harga jajanan normal alias murah gak kaya di tempat lain sok mampang meumpeung
Sewa tools ramah di kantong weh lah kabeh didieu mah
Toilet nya yg dkt glamping saya free (kencing ama bilas doang)

Alhamdulillah ya Allah"
5,"Tempatnya rame, banyak kolam nya, air nya ga terlalu hangat cenderung dingin"
4,Sudah tidak panas lagi air panas nya. Sekalinya panas karna air terkena paparan sinar matahari
1,Tempat nya B aja tempat nya kotor becek padahal lagi tidak hujan km mandi nya bener bener parah kotor apa lagi toilet nya tidak terawat padahal ada yg jaga tp cuman jaga kotak amal aja seihlasnya buat kebersihan tp😔😔😔🤦🤦 kotor sekali mau bilas pun air cuman keluar kecil sekali kaya ekor tikus tp untuk view MLM si bagus
1,"Kacau, perjalanan 6jam lebih sampai lokasi jam 2 belum bisa masuk, harus nunggu jam 3 sore, tapi gak masalah kita bisa nunggu dimobil. Pas sudah masuk niat pengen istirahat karena lelah diperjalanan tapi teryata bau sampah busuk jorookkkkkk, lalat penuh, area sekitaran saung ga dicleaning, 480rb dg fasilitan tidur disaung ditutup terpal ahhh sudahlah, komplain bukanya dibersihin malah hanya disemprot obat nyamuk,yg hoby camp lebih baik ambil arah cikole atau ciater lebih bersih dan lebih wort it, tidak rekomend buat camp/glamping👎"
