rating,review
4,"Tiket masuk
hiking: 10rb
Camping: 20rb

Tiket parkir
Motor
Hiking: 5rb
Camp: 10rb

Mobil
Hiking: 10rb
Camp: 20rb

Untuk curugnya sendiri bukan tipe curug yang tinggi banget, tapi bagus ko enak buat main-main air. Untuk jalan ke curug nya sendiri dari tempat parkiran ±15 menit dengan track yang santai cocok buat hiking.
Hati² kadang suka ada monyet sama anjing dan juga biasanya ada pelatihan untuk yang lagi militer.

Sama di curugnya ada tempat saung gitu dan itu bayar ya guys 25rb agak mahal sih cmn yaudah. Toilet juga aman krn disepanjang jalan kalian akan dipertemukan oleh bbrp toilet. Cuman emang kadang airnya ada bbrp yang mandet. Klo mau camp juga area nya luass. Disarankan kalo lebih dari 30 orang di blok jati, kurang dari 20 bisa di blok pinus atau blok pakis."
3,"Kesini tgl 3 Apr 2025
Akses jalan bebatuan kira2 10menit dari dusun bambu,persiapkan kendaraan yg sehat.
HTM Camping 20k/org
Parkir mobil 20k
Narik kabel listrik+dpt lampu sorot 100k
Ada biaya ke toilet (Bak/bab 2k,mandi 5k, nyuci piring 3k)
Suhu siang 20°, malam 16°
Dari spot pinus/kayu putih ke curug 15 menit jalan santai
Banyak spot camping
Banyak warung dan toilet bersih
Curug nya bersih dan luas, masih agak sepi
baru kali ini sih camping utk ke toilet harus bayar lagi

Saran :
masukan ke pengelola setidaknya utk cuci piring disediakan keran air.
Tidak ada lampu di spot camping (gelap gulita), untungnya kemarin narik listrik jdi bisa menerangi tenda2 yg lain, setidaknya kasih penerangan sedikit dekat pohon krn jalanan licin saat hujan
Disediakan tempat sampah"
5,"Gowes kesini bikin pengen balik lagi, di tambah kesini saat selesai liburan, wah sepi sekali. Indah banyak pohon pinus perbukitan dan kebun teh di seberangnya bisa liat gunung Burangrang dari sini dan juga Tangkuban perahu. Airnya bersih jernih ini mungkin yang paling tinggi. Untuk biaya masuk saya menggunakan sepeda harganya 10k entah untuk motor atau mobil, mungkin sama?. Wajib berkunjung nih airnya juga sejuk, tapi. Hati hati ya ikuti papan petunjuk yang ada di sekitaran sini karena kalau sepi lalu salah jalan, bisa bisa nyasar ke area militer, dimarahin nanti"
3,"datang ke sini batu pertama kalinya pd tgl 29 desember 2024.
jalan menuju lokasi sekitar 1.3 km masih berua bebatuan, belum diaspal atau di cor beton.
parkir motor diminta 5.000 meskipun di tiket tertulis 3.000, tiket masuk hiking 10.000/org, camping 20.000/org
ada beberapa lokasi camping: di sekitar pepohonan pinus, di sekitar pepohonan kopi, ada juga di dekat curug
untuk menuju lokasi curug dari gerbang tiket kurang lebih tidak sampai 1 km dgn jalan naik kemudian turun menuju curug.
untuk duduk2 di gasebo kayu dikenakan biaya 25.000
sayang sekali airnya kurang jernih terutama di bagian2 air yg terperangkap di bebatuan pinggir aliran air."
5,"Lokasinya cukup jauh dari jalan raya, akses kendaraan mudah hanya jalanannya yg tidak mulus.
disana fasilitas ada mushollah-toilet-warung, toilet bayar 2rb.
suasananya nyaman buat healing. hanya saja banyak ditemuin sampah berserakan disana, ayolah siapa pun yg datang kesana tolong dijaga kebersihannya."
5,"Curug dengan track jalan terpanjang di cimahi

Bisa ditempuh via CIC juga...

Camping ground luas, dan viewnya juga mantap

Track ke curugnya agak jauh ya guys

Hahaha

Tapi aman kok, dan rame terus setiap weekend"
5,"Nyaman ,cuma jangan kaget sering terdengar suara ledakan karena dekat dengan pelatihan TNI"
5,"Lokasi tidak jauh dari daerah dusun bambu. Namun, masih cukup butuh waktu untuk kesana. Jalannya berkelok dan masih banyak bebatuan. Saat sampai Lokasi nanti ada petugas yang bantu mengarahkan ke loket pembayaran. Untuk tiket masuk masih kehitung murah sekitar Rp.10.000 / orang untuk parkir menyesuaikan dengan kendaraan yang dibawa.
Jalan menuju lokasi curug masih cukup jauh. Harus melalui hutan pinus. Tapi selama perjalanan seru kok karena banyak juga pengunjung yang dateng. Sedia juga ada tempat makan murah dan enak.
Dengan harga semurah itu cocok kok buat liburan jalan jalan  disini."
5,Tempat nya sejuk alam nya indah air nya dingin segarr banget cocok buat ngilangin penat perkotaan
5,"Tiket masuk 10rb parkir motor 5rb
Terdapat warung, toilet 2rb, mushola
Trackingnya lumayan awal² jalur hutan pinus
Pas mendekti curug mulai jalur tangga
Hawanya enak adem bgt airnya dingin"
