rating,review
5,"tempatnya enakeun banget apalagi saya start jam 7 karna ada kerjaan dirongga jadi sekalian mampir tanpa persiapan dan sendiri luar biasa, jadi udara segar pemandangan pagi menyatu padu jadi satu, jalan akses menuju curug bagus parkiran pun luas. wajar trek cukup jauh dan menantang karna untuk hasil yg indah prosesnya gamudah wkwk.

jembatan gabisa dilewati jadi gabisa kebawah lebih deket sama curug, atau mungkin datangnya kepagian masih ditutup.
Haturnuhun malela from garut👍🏼"
5,Jalan menurun tajam menuju curug dibayar dengan pemandangan yg luar biasya ..masyaAllah pokonya...coba kalo diperbaiki trek nya yang sekarang pasti banyak yg dateng...harga tiket 10k..murah keitung nya..cuman emng butuh effort buat kesana karna jauh juga..buat para pencinta air terjun wajib kesini...banyak tantangan nya...seruuu!!!
5,"Akses masuk dr jalan besar ke akses masuk lokasi perlu ada perbaikan untuk menarik minat wisatawan domestik.

Perlunya pembenahan pengelola, spy tertata dr akses masuk hingga lokasi  menjadi baik, perum perhutani sebaiknya sebaiknya sdh mulai kolaborasi dng pengelola dr desa setempat.

Tiket masuk sekarang per april 2025  menjadi 10.000/orang, parkir motor 2000, dan parkir di lokasi ditarik lagi 5000."
2,"Htm 10,000 + parkir 2000(motor).
Batas berkunjung jam 4 sore udah pulang.
Gk rekomen bawa mobil karena kecil banget tempatnya, mana tadi juga jalannya ada yg longsor.
.
Curugnya sendiri bagus banget dibanding curug lain ini jauh lebih gede, tapi akses jalannya itu loh jelek mampus! kapok lah kesini apalagi pas hujan mana jalanan licin lumpur lagi, gk ada pegangan sama sekali, turunan curam pula. Pemerintah gk mikir apa emang gk peduli buat bagusin akses jalan kesitu?
HTMnya aja yg naek, tapi jalur masih ancur picilakaeun batur."
5,"Pemandangannya bagus, trakking lumayan bikin pegel, kalo abis hujan kayaknya agak licin tuch..  hati2 aja..   kapan kapan ke sini lagi ahh  sekalian beli  madu asli sama pisang tanduk..😊👍👍👍 …"
3,"Gila sih ini medan jalan menuju curug nya gak kaleng kaleng😂.
Jalan tanah batu2 turunan pula tanpa ada pegangan.
Alhasil begitu arah baliknya dengkul gemetar nafas sesak..kapoklah.😆
Curugnya sih bagus pisan hanya aksesnya kurang memadai.
Sayang pemerintah setempat gak nyampe otaknya kesini😁.padahal curug malela ini klo dibangun dengan baik bisa jdi objek wisata yg menjanjikan."
3,"aku org gununghalu udh beberapa kali kesini harga tiket naik, tapi jembatan di curugnya makin rusak jadi ga indah di liatnya.. tolong dong uang tiketnya di manfaatkan buat memperbaiki jembatan, pagar dan yang lainnya biar ga malu teing klo ada pengunjung luar kota jd pada nyesel"
5,Poko nya perjalanan ke Curug nya edum
5,"Mantap trekking sekitar 20 mnt jln menurun tanpa pegangan  dr naek ojek motor langsung d suguhi pemandangan alam yg indah👍🏻
Harga tiket masuk 5000 rupiah …"
5,"Terakhir datang entah 2014 atau 2015 akses jalan masih parah, berlumpur untuk sampai tempat parkir. Sekarang jalan beton sampai bunijaya, bunijaya ke Curug Malela di aspal.. dari tempat parkir ke Curug, jalannya masih belum full semen/paving.. jalan turun jauh. Cocok buat yg suka tracking. Buat yg ga biasa tracking bisa naik ojek untuk turun dan kembali ke parkiran nya."
5,"Dulu sempet ke Curug Malela waktu Bulan Januari 2016.
Akhirnya bisa dateng lagi ke 2x nya bulan Desember 2023 dengan perubahan yg signifikan.
Sekarang ke batu tengahnya udah ada jembatan. Ga kayak dulu harus buka sepatu sendal, naikin celana dan takut sama aliran airnya yg deres banget.
Pokonya pemandangannya bagus banget ga mengecewakan🥰😍"
5,"Curug yg karismatik
Banyak hal yg g semua orng bisa ungkapkan
Ada kenikmatan tersendiri buat orang yg berjiwa petualang
Pokonya muantap"
4,"18 Juni 2023

Tiket Masuknya sekarang 6.000/orang
Bayar parkirnya beda lagi (bukan termasuk tiket masuk)

Toiletnya ada di deket tempat parkir, tetapi waktu itu airnya kecil. Semoga nanti bisa lebih baik lagi.
Toiletnya ada di bawah juga deket tempat buat istirahat + ada warung kecil.

buat tracknya menuju curug jalannya menurun + agak licin (mungkin abis ujan), lumayan jauh, nanti pas balik ke atas lumayan olahraga 👍🏼😁

viewnya MasyaAllah indah ✨
siapkan fisik yg sehat. Terima kasih.."
5,"Untuk pertama kalinya menjajal rute gowes menuju curug malela ini dari soreang menempuh jarak 65km... Cukup melelahkan karena walaupun daerah sana ada kebuh teh tapi aga gersang mungkin karena cuaca musim panas juga... Rute menuju curug harus di tempuh dengan jalan kaki,, siap-siap kaki anda pegal linu. Haha, tapi semua itu terbayar dengan keindahan curug malela disana. Cukup dengan bayar 5rb saja susdah bisa sepuasnya berada disana.. Keren keren.."
5,"Perjalanan naik motor dari Bandung ke Curug Malela melalui, Batujajar - cililin - Gununghalu, jalannya bagus, ada sedikit jelek di Deket mau ke curugnya. Perjalanan naik motor ditempuh kurang lebih 2,5 jam. Untuk patokan silahkan menggunakan Gmaps dan bertanya2 ke warga sekitar.

Harga tiket Rp 5.500 belum termasuk biaya parkir.

Perjalanan hiking dari parkiran ke Curug didominasi oleh track yang menurun, disepanjang jalan tersedia shelter shelter untuk beristirahat dan juga ada beberapa warung. Apabila kondisi hujan atau habis hujan, jalannya menjadi licin, dan hati-hati kepeleset. Paket lengkap apabila licin dan jalan menurun. Dan kalo tidak hujan atau kering, jalannya akan berdebu.

Setelah berjuang cape hiking, akan terbayarkan setelah melihat keindahan curugnya, luar biasa bagus.  Untuk yang ingin bermain air dideket Curug disarankan agar datang sebelum jam 12siang. Setelah jam 12 siang akses menuju dekat Curug akan ditutup. Dan kita hanya bisa sampai ke jembatan besi didepan Curug. Dan setelah sampai ke Curug akan bertemu Abah lili yang tinggal dan menjaga di Curug, silahkan ngobrol dengan Abah lili untuk mengetahui info Curug Malela ini.

Bagi yg ingin hiking dan melihat keindahan Curug, wajib berkunjung ke Curug Malela ini.
Semoga bermanfaat, Salam keindahan alam.

Untuk liat video perjalanannya, silahkan di tonton di YouTube Kyan Kelana. Terima kasih 🙏"
4,"Air terjun yang berada di Desa Cicadas, Kecamatan Gununghalu, Kabupaten Bandung Barat ini bisa dicapai sekitar 3 jam dari Kta Bandung. Tempat wisata di Bandung ini sangat cocok bagi Anda yang senang trekking di alam bebas, karena pengunjung masih harus berjalan kaki sekitar 10 kilometer untuk sampai ke lokasi.

Memang melelahkan, namun begitu sampai di hadapan Curug Malela, Anda akan menemukan keindahan 5 air terjun yang berjajar dan membiaskan cahaya putih yang menawan ketika air jatuh menyentuh bebatuan di bawahnya."
4,"Sekitar 3 jam dari bandung kota.
Bisa melalui batujajar cimahi, atau juga bisa lewat margaasih.

Secara keseluruhan jalannya bagus, cuma untuk mobil mungkin agak sulit, karena ada beberapa jalan yang cukup kecil untuk dilewati.

Tiket masuk ke kawasan curug malela 5000/orang. Dari lokasi gerbang masuk ke kawasan parkir curug malela sekitar 2 km.

Tiket parkir motor Rp 2000/motor
Tiket parkir mobil Rp 10.000/mobil.

Dari area parkir, hiking menuju curug malela sekitar 30 menit. jalurnya lumayan melelahkan. Tapi tenang saja, kalian juga bisa menyewa ojek motor menuju lokasi sebesar Rp 15.000 - Rp 30.000 ( sekali pergi dan sepintarnya kalian menego harga)

Di lokasi banyak warung2 kecil. sesampainya disana ada 3 spot untuk berfoto ( BAYAR TERPISAH untuk masing2 spot)
Di kawasan ini tidak diperbolehkan berenang. Tempatnya lumayan terawat meski ada sampah2 berserakan."
5,"Curug Malela atau disebut juga Niagara Malela merupakan air terjun dengan ketinggian kurang lebih 60 meter dan lebar hingga 70 meter. Curug Malela ini berlokasi di Kampung Manglid, Desa Cidadas, Kecamatan Rongga, Gununghalu, Kabupaten Bandung Barat. Untuk menempuh tempat ini anda akan menempuh waktu kurang lebih 1-2 jam dari pusat kota jika tidak macet.

Curug ini mempunyai keunikan tersendiri. Tidak seperti curug-curug lainnya, air terjun setinggi 60 meter ini terdiri dari tingkatan-tingkatan tertentu sehingga bagus dan pas untuk dijadikan spot foto oleh kawula muda yang hoby selfie tentunya. Tak heran jika banyak sekali rombongan anak muda yang sengaja untuk touring ke tempat ini.

Sayangnya, tempat wisata ini terletak langsung dekat dengan sungai, sehingga jika anda berniat untuk berendam atau mandi di tempat ini, pastikan jika debit nya tidak sedang tinggi karena banyak sekali kasus-kasus hanyut yang terjadi di Curug Malela ini. Jangan datang di musim hujan juga karena airnya bisa meluap dan warnanya juga keruh berwarna coklat.

Selama perjalanan menuju Curug Malela, jangan heran jika jalannya hanya bermodalkan jalan bebatuan dan tanah saja, namun selama perjalanan menuju destinasi ini anda akan disuguhi dengan berbagai pemandangan alam yang sangat indah seperti pesawahan, pegunungan, dan lain-lain. Curug Malela juga kerap digunakan sebagai objek fotografi oleh fotografer profesional atau awam sekalipun.

Seperti tempat-tempat terpencil lainnya. Curug ini juga dipercaya menyimpan berbagai cerita misteri, para pengunjung baru akan sangat kesulitan untuk menemukan lokasi ini, mereka harus bertanya terlebih dahulu ke penduduk sekitar untuk dapat tiba di tempat ini, jika tidak, mereka bisa kesasar. Entah benar atau tidak, tapi memang benar para wisatawan yang baru ke curug ini meskipun sudah mengikuti rute di maps, akan sangat kesulitan apabila tidak bertanya."
5,Tempat sangat bagus buat healing keluarga dan harus di siapkan tenaga extra karena rute jalan kaki lumayan jauh dari tempat parkir
4,"Air Terjunnya bagus cantik pantas disebut niagara kecil. Untuk jalan menuju lokasi sudah bagus di aspal dan beberapa di beton. Siapkan keresek kalau yg suka mabok perjalanan karena jalan banyak dengan belokan tajam dan menanjak. Kekurangan nya hanya satu track menuju air terjunnya licin karena tangga2 sudah pada hilang tinggal sisa tanah, disarankan memakai sepatu atau sendal gunung. Oh iya bagi yg ga kuat tracking ke  air terjunnya tenang, ada mamang ojek yg siap mengantar dengan biaya 50rb"
4,Pemandangannya sangat luar biasa. Cukup jauh. Dan untuk menuju lokasi air terjun harus berjalan kaki atau naik ojek. Kalau jalan kaki cukup menguras tenaga. Kalau naik ojek cukup menguras adrenalin. Ongkos ojeg 25 - 30 ribu sekali jalan.
5,"Perjalanan lumayan panjang dengan jalur mobil yg pas pasan bahkan ada yg hanya cukup untuk 1 mobil, sampai parkiran harus jalan kaki atau naik ojeg sekitar 1 km menuju curug, tp semua terbayar dg pemandangan curug yang indah...👍 …"
5,"7 mei 2022
Touring bari mudik
Mntap perjalanan sungguh menangtang namun terbayar dengan indahnya pemandang yg di suguhkan 🤩
Nyampe pulang kesorean saking asyiknya di jln😆"
5,"Pribumi ramah,terawat,bagus...trekingnyapun aman,yg pasti Curug ya kererrn bgt"
5,"Saya ikut pembangunan jalan arah kesini, tapi belum pernah sampe ke Curugnya 😅. Sekarang, uda mulus sampai ke parkiran, semoga makin ramai, dan bermanfaat. …"
5,"Jalan k sana udah bagus nyampe k parkiran, tiket masuk 12 k per motor, biaya parkir 3 k, trs kita masih hrs jln kaki kurang lbih 1 jam perjalanan, tapi semua perjuangan ga sia2 stelah sampe ksana, curugnya keren abis, ga nyesel deh dateng ksini"
5,Tempat bangus banget akses bagus cuman ngingetin sih lebih baik nanya ke orang dari pada maps soal.nya klo ngikut maps masuk plosok2 gitu tapi tempat bagus kok
5,"Perjalanan yg bnr"" bikin Syahduu ,, dr Tempat parkir ke lokasi Curug ,,
Lelahh pun terasa hilang ketika sampe lokasi ,, 🥰🥰 …"
