rating,review
4,"Melelahkan 😌 turunnya sih butuh waktu sekitar 30 menit,, nyampe bawah airnya deras dan ga bisa main air,, naiknya butuh waktu 1 jam untuk sampai ke parkiran karena banyak istirahat nya hahaa,, untuk yang punya penyakit jantung, asma dan epilepsi dilarang untuk ke lokasi air terjun demi kesehatan.

Over all bagus banget sih air terjunnya,, pelangi terlihat jelas banget,, sangat effort naiknyaaaa

Kurangnya mushola yang kurang terawat,, lantainya basah, alat sholat juga basah,,

Yang mau kesini wajib siapkan fisik yang kuat. Tiket masuk 22k, parkir mobil 10k."
5,"unreal bangt pemandangannya, kesini sekitar jam 11, ada mushola, ada warung juga dibawah, perjalanan ke bawah cepet cuman 13 menit turun tangga, cuman pas naiknya lama karena tangga lumayan tinggi'"
5,"Curug Pelangi di Kertawangi, Bandung, benar-benar menawarkan pengalaman yang tak terlupakan! Aku dan teman naik motor dari Sukabumi, dan meskipun harga tiket masuk cukup terjangkau, yaitu 20rb ditambah parkir motor 4rb, perjalanan menuju air terjun ini cukup menantang.

Kami harus melewati sekitar *1000 anak tangga* yang cukup melelahkan, tapi begitu sampai di bawah, semua rasa lelah terbayar tuntas dengan pemandangan indah Curug Pelangi. Keindahan alam di sekitar juga menambah kesan mendalam.

Meskipun butuh perjuangan untuk mencapainya, tempat ini sangat cocok untuk yang ingin menikmati ketenangan alam sambil berolahraga. Bagi yang suka tantangan, Curug Pelangi adalah destinasi yang wajib dikunjungi!

*Negatif:*

- Perjalanan yang cukup melelahkan, terutama bagi mereka yang tidak terbiasa dengan aktivitas fisik.
- Beberapa bagian tangga yang cukup curam dan licin, membuat kami harus berhati-hati saat menaiki dan menuruni."
5,"ini salah satu curug di bdg yang view nya keren bgt, turun kebawah klo cepet 10 menit jg udh sampe curug, kalo naik keatas emang sedikit capek sih kurleb 15 menitan udh diatas lg. banyak saung2 sama tempat buat istirahat gtu ko di sepanjang anak tangga. dibawah jg ada warung, mushola, wc, dan saung2 jg jadi udh lengkap bgt wkwk. pokonya kalian wajib coba karna masya allah bgt view nya🤗💗"
5,"curugnya indah bangettt, airnya gede, jernih walau lagi musim hujan. akses jalan ke curugnya aman (karna tangga) diatas tangga nya juga dikasih pelindung gitu (biar ga diganggu monyet). penjaga warungnya juga ramah"".
BANYAKK BGT SPOT FOTOOOO

tiket masuk 22k/orang + parkir 5k untuk motor"
5,"Curug terindah dan ternyaman yang pernah saya kunjungi, akses mudah, pinggir jalan langsung masuk ke tempat pembelian tiket. Gak perlu trekking untuk bisa sampai ke curugnya, tinggal menuruni anak tangga saja untuk sampai ke curugnya. Persiapkan dengkul dan betis anda untuk bisa kembali ke atas ke tempat masuknya, karena curugnya ada di bawah.. curug pelangiiii mantaaaaapssss"
5,"Enakeun banget tempatnya, lingkungannya juga bersih akses jalannya juga bagus.
Ada warung dibawah tapi boleh bawa bekal sendiri.
Berangkatnya menurun tapi ada tempat buat berhenti sejenak sambil melihat keindahan curugnya dari ketinggian sambil foto foto tentunyaa"
5,"Tiket masuk 22k/orang dan parkir motor 4k. Termasuk mahal untuk curug. Wasilitas di bawah sudah cukup lengkap. Toilet, mushola, warung. Datang pagi sepi banget, tapi jam 10 an mulai ada kawanan monyet cari makan"
5,"Tracknya oke karena tinggal turun tangga, langsung sampe ke air terjun. Pas pulang harus menaiki 1000 tangga dulu sampai sakit kaki 2 hari😂. It was fun though, airnya super dingin dan udaranya sejuk! Siap sedia payung atau ponco kalau ke sini musim hujan. Dekat air terjun/curug juga ada warung-warung, ngga perlu khawatir kelaparan."
5,"Sangat mengesankan, dan ingin berkunjung lagi. Perjalanan dari kecamatan Ciparay .. sarapan dulu bubur ayam di dayeuhkolot,,,lalu melanjutkan perjalanan, tiba di lokasi pukul 09.30 WIB
Parkir 5000, tiket 22rb. Langsung masuk, berjalan kebawah melalui anak tangga, yg di suguhkan spot foto yg menarik."
5,"Guyss tolong perhatikan buat yang punya penyakit asma dan jantung, kalian kalo emng mau kesini harus bener2 fit ya, karena beneran capekk bgttt pas naik ke atasnya. Aku punya asma dan pas naik keatas, kambuh dongg. Ripuh pokokna mah. Kalo kalian capek berhenti dulu 5-10 menit gpp. Terutama yg punya penyakit asma, tong rusuh nya. Kalem we. Aku saranin kalo kesini jangan bawa jinjingan sebisa mungkin pake tas biar ga diambil sama monyet. Aku kesini jam 10 lebih dan cuacanya agak mendung, jadi ga keliatan pelanginya. Tapi emang jam-jam yg bagus keliatan pelangi antara jam 12-15 sih. But kalo jam segitu monyetnya pada keluar, so hati-hati ya! Aku jam 10 aman dan gaada monyet. Tempatnya enakeun, kalian harus cobain teriak deh dideket air terjunnya pisan, seru!! Trs buat jaga2 bawa baju ganti, karena kemarin juga pakaian aku agak basah sih karena kecipratan air. Di sini ada warung2 juga, kemarin aku beli Gery malkist 10k, yg biasa di borma 7-8k. Tapi normal lah ya, ga mahal2 bgt. Trs temenku beli chocolatos yg udh diseduh 8k dan pake gelas plastik. Tapi kalo warung yg pojok mah temen aku beli chocolatos juga sama, cuma 5k dan pake gelas dari ibu nya. Jangan lupa ya kalo kesini jajan di warung pojok yg ibu2 jaga nya, marurah😁 bageur. Aku kemarin kesini karena ada tugas kuliah sekalian healing. Ohya kalo kalian ada tugas kuliah juga dan mau wawancara petugasnya terutama PIC nya, aku saranin bikin surat dulu ke kantornya di daerah Lembang, tapi lupa tepatnya dmn. Kemarin karena blm bikin surat, ga bisa wawancara dan bpknya pun gamau☺️. Terakhir, kalian harus pake sepatu/sendal gunung, karena bisi licin. Udh ada kamar mandinya juga ya say, tapi emng kalo buat tempat duduknya kurenggg, adapun tempat duduk itu disediain sama tempat warungnya. Masuk 20k parkir 3k. Maybe kalo weekend 25k masuknya"
4,"Harga tiket 20k/orang, dan parkir 3k. Buat nyampe ke curug lumayan gempor harus menuruni banyak anak tangga, tapi cukup terbayarkan ketika sampe di bawah viewnya bagus. Dan untuk fasilitas ada kamar mandi dan mushola, juga ada warung."
5,Tempat yg bagus untuk foto²...tiket masuknya juga murah...hati² pas turun ke air terjun jalan lumayan licin...apalagi kalo musim hujan
4,"Jika anda berkunjung di musim hujan, hati-hti tracking nya licin. Siapkan lutut ya guys, karena untuk sampai curug akan menuruni tangga, dan untuk balik lagi ke atas kita naik tangga yg lumayan panjang banget. Tapi gausah khawatir ya, bakal terbayarkan sama pemandangan curug yang MasyaAllah. tersedia warung dan toilet"
5,baguss cuma gakuat sama tangganyaa yg bikin encok😭 jiwa” rebahan emng ga cocok kesini wkwkwk tapi kebayar banget si sama view curugnya bagus banget
