rating,review
4,"Buat teman-teman yang suka curug yang luas Area campingnya ini oke banget. Tiket masuk 15k, tapi untuk camping sepertinya bayar lagi ya. Area nya luas pakek banget ya guys. Bawa keluarga/anak-anak juga recomended karena ada area bermain anak juga. Bisa rappelling, camping, dan ada 2 curug ya, curug yang di bawah buat rappelling, dan kalo teman-teman mau ke curug yang di atas (curug aseupan) bayar lagi 10k perorang. Tapi tenang aja kok, dengan 10k kita udah dapet view yang MasyaAllah cantik banget. Tapi hati-hati ya karena track nya lumayan licin apalagi pas naikin tangga. Untuk toilet dan musola cukup terawat, dan gak takut antri juga karena toiletnya  banyak banget. Warung ada di area parkir dan di area curug, menyediakan mie rebus, kopi, dan camilan. harga nya juga lumayan worth it ya"
5,"Nyobain rappelling bareng @jejakdualangkah di Curug Aseupan! Dari parkiran ke lokasi cuma 200 meter, jadi nggak terlalu jauh. Pas banget debit airnya deras, makin bikin adrenalin naik!
Curug Aseupan tuh cakep banget, bagian dari kawasan Curug Tilu Leuwi Opat yang luas. Bisa eksplor banyak kegiatan seru di sini—main air, rappelling, camping, flying fox, sampai paintball! Fasilitasnya juga oke, ada mushola besar & tempat bilas yang bersih.
Buat yang butuh refreshing dan pengen lihat hijau-hijau, wajib banget ke sini!"
5,"Kesana pas musim kemarau. Soalnya pengen nyari yang dingin2. Tapi ya udah pasti airnya irit lah 🤭. Tetep masih sempet basah2in kaki. Airnya dingin. Kalo di sungainya keliatan bening loh. Kalo di tampungan ya butek. Seger kok airnya. Tempatnya enak buat jalan bawa bocil2. Asalkan bocilnya masih bisa diajak kompromi gak lelarian brutal, tetep ya ini wisata alam banyak area yang curam2. Areanya kecil da segitu2 doang, tidak melelahkan."
5,"tempat yg sejuk bagus bersih buat di kunjungi bersama keluarga ataupun teman.
Perjalanan kesini tidak membutuhkan waktu yg lama dari bandung dan tidak terlalu curam buat anak atau orangtua.
anak anak bisa bermain air dengan nyaman."
5,"07Jun25 / Sabtu
Dateng sekitar jam 8an,untuk akses jalan masuk nya lumayan agak rusak yaa dan ada pungli juga di bagian depan
Untuk track nya cocok bnget buat pemula cuman agak bingung karena kurangnya petunjuk arah untuk ke curugnyaa"
5,"Pagi dari villa tempat menginap ke curug tilu, ongkos masuk tempat wisata 20rb, tergolong mahal utk wisata lokal. Sayang tempatnya terasa kurang terawat, tapi weekend tetap msh bnyak yg berkunjung, tetap jaga lingkungan dan alam kita"
5,"Datang untuk rapelling bersama jejak dua langkah

100 meter sebelum ke lokasi ada retribusi

Cocok untuk anak usia 4 tahun keatas
Dari parkiran ke curug 15 menit

Pembayaran tiket bisa dengan qris ya

Anak2 free
Yang ikut trip free

Sangat amat perlu papan penanda meskipun sebenarnya ngga terlalu jauh ke curug nya"
5,"Akses jalannya bagus hanya jalan setelah belik kiri menuju curug ga rata. Sampai gerbang curug parkir di dalam lalu balik lagi ke tempat pembelian tiket.

HTM 15rb per orang tambah parkir 2rb, tersedia warung jajanan dan pakaian untuk ganti.

Untuk menuju curug banyak petunjuk jalannya tapi kita masih kebingungan harus lewat mana. Karena banyak akses jalan dan tangga di sana. Pergi dan pulang kita melalui jalan yg berbeda

Curugnya bagus, airnya lumayan deras bisa climbing di curugnya dari atas tapi harus reservasi terlebih dahulu. Jumlah pengunjung belum terlalu banyak kalo pagi pagi"
5,"Curugnya bagus banget masyaallah. Curug Aseupan apalagi, cuman sayangnya harus bayar lagi pas naik tangga buat ke Curug yg agak atas."
5,"Ada rapelling yg bisa diikutin seru sih ambil paket di jejak 2 langkah udah include minum , snack , makan siang dan dokumentasi"
5,Dari post ke curugnya ga jauh cuma monyet aja jangan lupa ajak ngobrol ta biar ga tegang
