rating,review
4,"Tempat rekreasi yg bagus
Pemandangan alam dan kebun teh yg indah
Jika pengunjung ingin bermalam ada vila dg fasilitas lengkap  yg sangat indah krn lgsg berhadapan dg sungai kecil yg mengalir persis di depanya
Banyak wahana permainan dan spot foto yg bagus2
Pokoknya rekomend banget deh bagi klrga yg ingin berlibur di tempat rekreasi yg sejuk dan asri 😃"
5,"Tempat yg nyaman buat keluarga rekan, tempat ini jadi Kenangan indah bersama rekan² yg takan terlupakan se umur hidup ku"
5,Tujuan wisata yang memanjakan  pengunjung dengan konsep menyatu dgn alam serta permainan dewasa dan anak anak juga menyediakan penginapan cabin dan tempat untuk swafoto yg cukup bervariasi untuk remaja
5,"Tempatnya lumayan asyik sih buat santai bareng keluarga. Pas weekend tempat ini malahan sangat ramai dan banyak orang antri buat berfoto di curug tilu.
Curug tilu disini hanyalah buatan, replika lebih kecil dari curug tilu aslinya. Disini sih saya lebih banyak makan sambil santai dengerin musik atau suara air terjun dari curug tilu. Bisa juga naik ke atas buat foto foto dengan latar kebun teh."
4,"Nama nya curug... Tapi ini ternyata curug buatan ya.. Jadi jangan berharap bisa mandi, berendam dan menikmati air yang  sejuk, jernih karena ternyata airnya butek (keruh) dan tidak bisa digunakan untuk mandi.

Disini lebih tepat kebun teh, wisata estetik yang instagramable jadi puas kalau mau foto-foto. Untuk anak-anak ada permaina  balon gas, karcis masuk : 60rb, ada perosotan estetik pakai ban (namanya apa ya?) karcis : 30rb. Diluar karcis masuk.

Tempat bersih, tapi ya.. Udah itu saja..
Teman-teman saya karena ada panggung ya.. Mereka menghibur diri dengan nyanyi dan ya...."
4,"Tempatnya dingin, buat yang suka foto2 bisa main ke sini. Banyak space buat selfie atau foto bersama keluarga.

Mau coba mainan yg memacu adrenalin? Bisa cobain prosotan rainbownya. Ada jajanan yg murah meriah juga Deket pintu masuk.

Buat yang cari oleh oleh, ada juga tokonya menuju pintu keluar"
2,"saya memesan area hobbit house, harga 990k perkamar dan dapat breakfast.
untuk areanya secara view sangat ok, pemandangan dan suara sungai sangat enak dan nyaman. tapi ada beberapa poin yang perlu dibenahi diantaranya :
1. entry gate antara pengunjung wisata dan menginap tidak dibedakan, sehingga kami yang harus bolak balik keluar masuk area harus slalu konfirmasi ke penjaga. udah gitu kami harus melewati area wisata dl buat sampe ke penginapan, dan jauh bangetttt, ga cocok kalau bawa org tua. tidak ada layanan trolley buat angkut barang jadi harus bolak balik dan sangat capek.
2. Saat itu kami membawa mobil dan motor, kami memutuskan menyimpan helm di dalam mobil, tapi kata penjaga disini sudah difasilitasi tempat helm untuk pengunjung yg menginap,dan meminta kami menyimpan di penitipan helm. kami pikir gratis buat yg menginap, ternyata suruh bayar.
3. di resto ataupun parkir ga ada layanan non-tunai, sedangkan nyari atm jauh kmn2. jd kami parkir harus tf ke pemilik. kaya 2024 gabisa non tunai, ketinggalan jaman banget rasanya.
4. breakfast cuma nasi, ayam, sayur toge,& tempe serta dessert berupa awug kecil. masih harus nunggu refill semuanya, jadi antri panjang bgt. perlu ditingkatkan ya.
5. kamar berdebu, kebersihan kurang. ada satu keluarga trip, dan sepertinya membawa minol, banyak muntahan di areanya, tidak langsung dibersihkan. mungkin aturan untuk membawa minol perlu di perhatikan.
6. toilet untuk area hobbit sangat jauh, harus turun tangga jauh,tidak org tua friendly. padahal udara dingin bikin pengen buang air kecil trs, toilet yang baru dibangun agak dkt blm ada waterheaternya.
7. sayangnya semua area diluar penginapan harus bayar, bahkan toilet sekalipun, kaya aneh aja,udh bayar nginep tp blm bisa check-in, kalo mau k kamar mandi mesti bayar 2000 perorang.
8. playground kurang variatif.

tapi disini dari segi jajanan mau di kafe ataupun resto masih sangat affordable dari segi harga dan rasa."
4,"Ada beberapa harga disini, biaya masuk untuk spot foto saja, bed lagi kalau mau masuk ke playground anak, bed lagi kalau mau main di perosotan yg tinggi itu. Parkiran luas.
Playground agak terbatas fasilitasnya & kebetulan lagi dibenerin di sebagian area pas lagi main disana. Anak cepet bgt minta keluar dr playgroundnya :("
5,"Dulu sebelum jadi curugtilu suka bgt main ke sini sambil ngopi + mancing di danau atas .
Setelah beberapa tahun kemudian ke sini lagi dan berubah jadi Ecopark Curugtilu..
Oke nyaman jauh lebih bagus dari awal nya ,anak ku suka bgt main playground di sini."
1,"😅 Untuk harga high season yang 2x lipat seharusnya bisa mendapat sarapan yang lebih baik*

Tapi saya tidak sangat nyaman saat Sarapan pelayanan nya tidak memuaskan karena ""Porsi yg dibatasi"" (ayam goreng nya enak, tetapi tidak boleh nambah oleh pelayan nya dan etika pelayanan kurang sopan).

Menu sarapan nya pun hanya ada 2 :
(ayam goreng dan sayuran) seperti kelas melati

Tidak seperti penginapan / villa lainnya yg membebaskan pelanggan untuk menyantap sarapan makan pagi sepuasnya"
